Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1831.769409
FDW14,OUT017,1558.095337
NCN55,OUT010,1883.037292
FDQ58,OUT017,2617.177917
FDY38,OUT027,5134.390564
FDH56,OUT046,1954.525574
FDL48,OUT018,593.6738892
FDC48,OUT027,2779.568176
FDN33,OUT045,1556.400757
FDA36,OUT017,3126.746033
FDT44,OUT017,2061.4104
FDQ56,OUT045,1397.130615
NCC54,OUT019,1875.933899
FDU11,OUT049,2062.262756
DRL59,OUT013,904.7529907
FDM24,OUT049,2557.322693
FDI57,OUT045,3324.605591
DRC12,OUT018,2750.18634
NCM42,OUT027,3184.923706
FDA46,OUT010,1124.527588
FDA31,OUT013,2836.308411
NCJ31,OUT035,3792.654663
FDG52,OUT046,772.1170654
NCL19,OUT019,368.4192505
FDS10,OUT035,2913.997314
FDX22,OUT010,1450.440674
NCF19,OUT035,815.6782227
NCE06,OUT046,2530.766296
DRC27,OUT046,3866.148804
FDE21,OUT035,1959.901978
NCR42,OUT019,1374.560425
FDX51,OUT018,2869.263672
NCR06,OUT018,414.6496582
FDU31,OUT027,4978.465759
FDU59,OUT017,2759.793213
FDR03,OUT027,4755.978638
FDS49,OUT027,2781.403259
FDD48,OUT010,72.81182861
NCF18,OUT017,3146.263916
NCD43,OUT027,3089.552368
NCD54,OUT018,1978.485657
FDY19,OUT010,11.13305664
NCY54,OUT017,2847.866028
NCL19,OUT018,2023.550842
FDP23,OUT010,1540.66864
FDC26,OUT013,1849.453125
FDR14,OUT010,1083.759949
NCS41,OUT035,2952.85083
FDF41,OUT035,3929.63324
FDU34,OUT046,1986.96991
DRH11,OUT046,945.7379761
FDM03,OUT013,1737.375427
FDS31,OUT017,3094.534424
FDJ20,OUT017,2163.839478
FDV44,OUT027,4522.879089
FDG02,OUT049,3135.756104
FDA09,OUT013,2915.69281
FDT04,OUT013,646.2069702
FDL58,OUT019,2282.530151
FDE52,OUT045,1447.673401
FDW12,OUT035,2412.317688
FDL51,OUT017,3538.888977
NCY42,OUT027,3681.017273
FDR07,OUT017,1729.074768
FDN40,OUT045,2393.402954
FDB35,OUT027,2979.394714
FDA22,OUT017,2803.795654
NCL06,OUT046,4106.863708
FDI35,OUT013,2939.54718
NCW42,OUT045,3457.342712
NCX06,OUT049,2929.701904
FDC37,OUT027,3198.591614
FDZ14,OUT018,1682.652588
DRG49,OUT049,3949.322815
NCG06,OUT045,4004.062683
DRC36,OUT045,2768.772156
FDV21,OUT019,47.31213379
FDB53,OUT046,2327.992798
DRP47,OUT019,2056.622437
FDA14,OUT013,2296.756165
DRC24,OUT035,2464.014343
FDW21,OUT018,1394.530029
NCH29,OUT046,1573.699097
FDU58,OUT013,3069.291138
FDY27,OUT017,2925.911987
FDV56,OUT035,1883.726074
FDT59,OUT046,3664.782654
FDB23,OUT046,3644.963867
FDR49,OUT045,775.6600342
FDB03,OUT010,1865.719238
FDN39,OUT045,2663.302063
FDX02,OUT027,4933.593994
FDQ16,OUT027,3162.927979
FDU35,OUT018,1334.088623
NCT29,OUT013,1980.327698
FDZ27,OUT046,768.7149658
FDN57,OUT017,2375.278992
FDA03,OUT018,2039.700439
FDZ36,OUT045,2981.530151
NCU05,OUT013,1343.446533
FDT39,OUT018,2191.049072
FDK60,OUT017,1746.22998
FDZ25,OUT017,2910.845276
FDG12,OUT046,2016.534973
DRB01,OUT019,1104.684998
NCC43,OUT027,5366.246033
FDX13,OUT019,2059.853638
FDM22,OUT049,1015.455017
FDJ03,OUT027,2256.717285
FDU14,OUT018,3615.375061
FDB33,OUT010,660.0507813
FDP27,OUT046,3017.679199
FDO38,OUT010,646.855896
FDE28,OUT027,5120.876953
FDO27,OUT035,1611.613464
DRL23,OUT027,3184.913513
FDS28,OUT046,940.8764648
FDX24,OUT013,1542.543762
FDZ02,OUT035,1606.688965
FDL46,OUT045,1853.300415
FDS60,OUT027,4298.211243
NCO06,OUT017,662.862915
FDO16,OUT035,1410.921997
FDC60,OUT049,1548.334473
FDA48,OUT018,3198.733215
FDZ36,OUT027,4450.300415
FDK27,OUT045,1937.112854
FDW23,OUT018,383.0375977
FDM14,OUT018,1531.85376
FDM14,OUT013,1810.847168
FDW60,OUT018,2605.22821
FDE21,OUT013,1940.294556
NCM42,OUT035,1783.292603
FDY59,OUT010,384.881897
DRI49,OUT049,1366.560059
FDT28,OUT019,483.152832
FDQ22,OUT018,390.6348877
FDR60,OUT049,1330.12793
FDC50,OUT019,372.2226563
FDV24,OUT013,2447.464111
DRF48,OUT010,1057.436401
FDQ47,OUT046,653.8637085
DRN36,OUT049,1645.538025
NCY06,OUT035,2070.682068
FDE52,OUT035,1500.483154
NCB54,OUT045,2015.900024
NCF31,OUT035,2449.829651
FDJ08,OUT027,4482.257263
NCC07,OUT017,1819.338928
NCD19,OUT027,2316.855103
FDL46,OUT049,1990.31842
FDM20,OUT045,3915.877136
NCI06,OUT010,917.8297729
DRM11,OUT035,4147.755859
NCH07,OUT018,2203.346191
FDS23,OUT013,2097.921204
FDO49,OUT018,598.5345459
FDS35,OUT049,1167.382202
DRK39,OUT045,1331.677979
DRI39,OUT049,1050.219543
FDV04,OUT017,2658.295776
NCN14,OUT035,2919.073853
FDH08,OUT013,3730.463196
FDS20,OUT046,2941.954834
FDV40,OUT049,1309.15033
FDZ48,OUT010,147.3897705
FDS24,OUT027,2912.197021
FDK44,OUT049,2884.721802
FDS48,OUT045,2384.567139
FDK26,OUT010,1133.090088
FDD23,OUT045,3051.86853
NCH54,OUT017,2674.660217
NCP14,OUT010,255.697876
FDM60,OUT010,1200.334473
FDV24,OUT017,2550.79364
FDH08,OUT018,3386.028503
FDS12,OUT027,3470.475098
FDR39,OUT027,4316.592957
FDP12,OUT027,2120.337341
DRF60,OUT027,5166.429993
FDC09,OUT035,1784.2146
FDF50,OUT018,2891.342041
FDG28,OUT035,3924.887756
NCE19,OUT017,1020.978271
NCM53,OUT010,185.4111328
NCN18,OUT049,1846.572876
FDF32,OUT035,3234.973633
FDF11,OUT013,3894.960205
DRI59,OUT049,3668.03302
NCG54,OUT035,2705.598328
FDM44,OUT046,1673.346313
FDT57,OUT018,3457.510376
FDV24,OUT046,2407.276245
FDI50,OUT019,1784.405579
FDS09,OUT035,932.59552
NCC31,OUT027,3886.423157
FDQ07,OUT019,1628.549622
FDC22,OUT017,3206.262573
FDZ56,OUT046,2731.281921
FDZ40,OUT019,1024.396912
FDS46,OUT027,3385.370605
DRD24,OUT045,2214.270508
FDV45,OUT017,3137.452637
FDL26,OUT045,2492.556519
FDA56,OUT018,1739.343201
FDN27,OUT046,1899.80835
FDM20,OUT049,4007.102844
FDO16,OUT017,1476.073059
FDL03,OUT035,3200.283752
FDE58,OUT046,1868.98822
FDI02,OUT027,3311.649902
NCC55,OUT019,1278.46875
FDR03,OUT018,3038.189758
FDB14,OUT017,1697.39917
FDR45,OUT013,3839.323975
NCN07,OUT017,2206.879639
FDM51,OUT019,196.0343018
FDT52,OUT027,5339.745361
FDL26,OUT046,2482.48877
NCZ42,OUT046,3754.136597
DRI47,OUT019,438.5284424
FDW40,OUT013,2291.549561
FDN34,OUT046,2720.885071
FDS01,OUT035,2921.856873
NCG55,OUT045,1820.011841
FDC11,OUT035,1470.004639
FDX35,OUT018,3353.952759
NCB06,OUT046,2538.910339
FDR09,OUT019,2187.123352
FDC53,OUT017,1695.746765
FDY45,OUT013,4049.328064
FDA22,OUT010,781.350708
FDE02,OUT035,1605.893982
FDW21,OUT045,1662.139526
FDV34,OUT046,1247.236206
FDS59,OUT049,1904.74176
NCW17,OUT017,2188.430786
NCK54,OUT046,1853.023071
FDG17,OUT019,1984.145508
FDG35,OUT017,2954.356934
FDD08,OUT010,1230.812683
NCO07,OUT017,3480.97052
FDJ10,OUT010,364.7971802
FDW36,OUT017,1822.260254
FDW21,OUT010,246.1397705
FDY19,OUT017,2068.834778
DRE03,OUT013,822.767395
NCC55,OUT049,711.5169067
FDH52,OUT010,848.3903198
FDO09,OUT017,4339.793335
FDU43,OUT045,3843.271545
FDX09,OUT010,855.2129517
FDH40,OUT019,542.8019409
FDW58,OUT017,1824.230225
FDC47,OUT017,3715.756348
NCR41,OUT035,1573.837341
DRG49,OUT035,3893.784119
FDC52,OUT027,3881.817383
FDY13,OUT046,1252.751892
FDY35,OUT013,829.1470947
FDI35,OUT017,3058.545654
NCU18,OUT049,2319.937622
FDY33,OUT018,2271.643982
FDC15,OUT027,3884.790344
FDU01,OUT049,3121.419006
NCU42,OUT046,2672.164734
NCV29,OUT018,2546.349609
NCY30,OUT017,3015.142944
FDQ46,OUT049,1884.011108
FDG58,OUT027,3928.520813
FDK33,OUT017,3519.89502
NCD07,OUT045,1811.1875
NCX29,OUT027,3740.066589
NCT42,OUT013,2372.94281
DRN59,OUT035,818.7990112
FDI44,OUT035,1356.672119
FDA45,OUT049,2895.281982
FDP31,OUT045,1112.613098
FDY01,OUT046,1896.435974
FDT09,OUT018,1889.769897
DRH03,OUT027,2978.914856
FDA36,OUT018,2703.78302
NCF31,OUT017,2555.441772
FDG14,OUT049,2583.65863
FDG28,OUT027,5348.686829
FDU14,OUT049,4004.350281
FDY47,OUT019,247.7687378
FDI56,OUT049,1587.662048
DRD01,OUT013,983.0913696
FDM22,OUT046,940.1099854
FDH33,OUT013,722.3696899
DRZ24,OUT013,1904.87146
NCQ38,OUT046,1684.062439
FDO16,OUT027,2798.497498
FDU07,OUT027,3861.679382
NCB07,OUT013,3074.00592
FDU48,OUT045,2100.702576
NCM43,OUT045,2603.508057
FDR31,OUT010,466.8911743
DRK49,OUT018,398.2226563
NCI30,OUT010,1910.679871
DRD60,OUT017,2998.989563
NCG19,OUT046,3663.554077
FDH12,OUT035,1738.759888
FDM32,OUT035,1569.129578
FDM27,OUT035,2559.077454
NCU53,OUT027,4078.954346
NCQ18,OUT046,1546.767517
FDS10,OUT013,2871.021362
FDB33,OUT027,3999.220032
FDI12,OUT013,1460.8396
NCW42,OUT013,3498.353699
NCC06,OUT018,1750.259766
FDW02,OUT017,2160.589966
NCD43,OUT017,1798.457581
FDM57,OUT018,1100.955505
FDA58,OUT017,3871.874634
FDK56,OUT046,2958.38501
FDP52,OUT045,3654.795471
FDW20,OUT018,1744.648315
FDS52,OUT049,1704.909424
NCT29,OUT018,1635.84259
NCL54,OUT013,2797.193176
FDC05,OUT045,3138.81073
FDF34,OUT035,3215.786316
FDP03,OUT027,3487.773682
FDD32,OUT010,488.9503784
FDZ10,OUT045,2014.951355
FDZ40,OUT035,928.5308838
FDD51,OUT018,398.5973511
